,employee_number,age,attrition,business_travel,department,education,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,remote_work,hourly_rate,daily_rate,distance_from_home,monthly_income,total_working_years
13,14,41,Yes,travel_rarely,desconocido,bachillerato,desconocido,2,female,3,5,research_director,3,married,16280,1,No,12,3.0,4,0,0,3,22,15,8,1982,no,49,1360.0,12.0,19545.0,8
14,15,55,No,desconocido,desconocido,universidad,medical,3,male,4,5,research_director,2,single,13339,8,No,11,3.0,4,0,3,3,24,2,15,1968,yes,61,692.0,14.0,8032.8,8
15,16,40,No,travel_rarely,desconocido,universidad,desconocido,3,female,3,5,manager,3,desconocido,13022,0,No,14,3.0,4,0,2,3,20,1,12,1983,no,79,1398.0,2.0,18041.0,10
16,17,58,Yes,travel_rarely,desconocido,universidad,desconocido,4,male,3,5,research_director,2,single,25761,7,Yes,12,3.0,4,0,2,3,31,13,8,1965,no,31,286.0,2.0,19246.0,40
17,18,46,No,travel_rarely,desconocido,bachillerato,desconocido,3,female,3,4,manager,1,desconocido,24097,8,desconocido,23,4.0,1,0,2,3,26,15,9,1977,no,69,1402.0,2.0,12359.2,28
18,19,35,No,desconocido,desconocido,doctorado,life_sciences,2,male,4,2,research_scientist,1,married,26312,1,desconocido,11,3.0,4,0,2,3,16,1,10,1988,no,48,819.0,11.2,7678.2,11
19,20,40,No,travel_rarely,desconocido,bachillerato,life_sciences,1,female,2,3,manufacturing_director,3,desconocido,25800,1,desconocido,13,3.0,4,2,2,3,18,14,12,1983,yes,80,884.0,15.0,5292.0,18
20,21,45,No,non_travel, research_development ,eso,desconocido,3,male,2,3,healthcare_representative,3,desconocido,3395,3,desconocido,23,4.0,4,1,3,2,23,14,4,1978,no,74,1238.0,1.0,10748.0,25
21,22,33,No,desconocido,desconocido,fp,life_sciences,1,female,3,3,research_director,4,single,15146,1,Yes,12,3.0,3,0,1,3,15,8,12,1990,yes,98,515.0,1.0,6313.2,15
22,23,36,No,desconocido,desconocido,bachillerato,desconocido,3,female,3,3,healthcare_representative,3,divorced,8202,1,desconocido,13,3.0,2,3,2,3,17,12,8,1987,yes,59,1223.0,8.0,5431.6,17
23,24,47,No,desconocido,desconocido,fp,other,3,female,3,4,manager,4,married,12982,1,desconocido,11,3.0,3,1,3,2,26,3,0,1976,no,33,202.0,2.0,16752.0,8
24,25,36,No,travel_rarely,desconocido,fp,life_sciences,4,male,3,2,sales_executive,4,desconocido,2823,1,desconocido,14,3.0,4,1,1,3,18,4,11,1987,yes,56,928.0,10.2,6201.0,18
25,26,35,No,desconocido,desconocido,bachillerato,life_sciences,4,female,2,3,manufacturing_director,3,married,23457,1,Yes,20,4.0,2,1,2,3,17,5,15,1988,no,66,607.0,9.0,5470.0,17
26,27,52,Yes,desconocido,desconocido,eso,desconocido,1,female,1,5,manager,4,married,25846,1,No,15,3.0,4,1,3,3,32,6,9,1971,yes,57,266.0,2.0,19845.0,33
27,28,36,No,desconocido,desconocido,universidad,life_sciences,3,female,3,2,manufacturing_director,2,single,2323,9,Yes,11,3.0,4,0,2,3,16,5,12,1987,no,53,429.0,2.0,5766.2,18
28,29,33,No,travel_rarely,desconocido,universidad,life_sciences,2,male,3,2,laboratory_technician,3,married,22949,1,desconocido,12,3.0,2,1,3,3,15,5,7,1990,yes,79,589.0,28.0,6873.4,15
29,30,34,No,non_travel, sales ,bachillerato,life_sciences,4,male,3,2,sales_executive,3,desconocido,12313,1,Yes,14,3.0,3,1,3,3,15,0,7,1989,yes,87,738.6,10.0,4001.0,15
30,31,41,No,desconocido, sales ,eso,desconocido,3,female,3,3,sales_executive,3,divorced,26458,0,desconocido,13,3.0,4,1,3,4,22,13,5,1982,yes,81,857.8,3.6,10447.0,13
31,32,47,No,desconocido, research_development ,bachillerato,medical,1,male,3,3,healthcare_representative,3,desconocido,13084,2,desconocido,23,4.0,2,0,3,3,17,12,11,1976,yes,84,1180.0,25.0,9143.6,25
32,33,53,No,travel_rarely,desconocido,bachillerato,desconocido,3,female,3,5,manager,3,desconocido,10735,4,desconocido,11,3.0,4,1,3,2,14,4,8,1970,yes,58,1282.0,5.0,3236.4,26
33,34,35,No,desconocido,desconocido,universidad,marketing,3,male,2,2,sales_executive,1,single,23016,0,No,14,3.0,2,0,2,3,15,2,8,1988,no,32,776.0,1.0,5578.4,16
34,35,34,No,travel_rarely,desconocido,universidad,other,1,female,3,2,research_scientist,3,single,12482,1,desconocido,14,3.0,3,0,3,3,16,2,10,1989,yes,41,665.0,6.0,6424.0,16
35,36,46,No,travel_rarely,desconocido,fp,desconocido,2,female,3,3,sales_executive,1,divorced,2137,1,No,25,4.0,3,3,2,3,24,15,7,1977,yes,92,526.0,1.0,7384.6,24
36,37,43,No,desconocido,desconocido,bachillerato,desconocido,4,female,3,4,manager,4,married,7744,5,desconocido,22,4.0,3,1,3,3,17,1,9,1980,yes,80,1034.0,16.0,16064.0,22
37,38,36,No,desconocido, research_development ,bachillerato,life_sciences,4,male,3,1,laboratory_technician,4,married,20251,0,desconocido,11,3.0,3,1,4,3,15,10,11,1987,yes,47,1403.0,6.0,3210.0,16
38,39,60,No,travel_frequently,desconocido,bachillerato,desconocido,3,female,2,3,sales_executive,1,married,2845,4,No,19,3.0,4,0,5,4,18,13,11,1963,yes,80,1499.0,28.0,10266.0,22
39,40,40,No,travel_frequently,desconocido,universidad,desconocido,4,male,2,3,sales_executive,1,married,23772,5,Yes,21,4.0,3,1,2,3,18,1,12,1983,no,48,580.0,5.0,10475.0,20
40,41,32,No,travel_rarely,desconocido,bachillerato,desconocido,3,female,2,2,manufacturing_director,3,married,19124,1,No,12,3.0,3,1,3,3,14,6,8,1991,no,98,859.0,4.0,6162.0,14
41,42,41,No,travel_rarely,desconocido,bachillerato,desconocido,3,male,3,1,laboratory_technician,1,single,3119,2,Yes,13,3.0,3,0,3,3,18,2,17,1982,yes,59,263.0,12.0,4721.0,20
42,43,53,No,desconocido,desconocido,fp,medical,3,male,3,4,manager,3,divorced,13938,6,No,13,3.0,3,1,3,4,17,15,2,1970,no,55,1376.0,2.0,6668.4,22
43,44,36,Yes,travel_rarely,desconocido,universidad,desconocido,3,female,4,1,laboratory_technician,1,single,8269,1,desconocido,16,3.0,3,0,1,3,17,15,14,1987,yes,43,885.0,16.0,6203.2,18
44,45,46,No,desconocido,desconocido,universidad,life_sciences,4,female,2,2,research_scientist,1,divorced,21029,8,Yes,23,4.0,1,3,2,3,16,1,7,1977,no,74,1003.0,8.0,4615.0,7
45,46,38,No,travel_rarely,desconocido,universidad,desconocido,4,male,3,2,sales_executive,2,married,7636,0,No,15,3.0,1,2,3,3,15,5,8,1985,yes,86,1321.0,1.0,6773.8,16
46,47,51,No,desconocido,desconocido,universidad,desconocido,1,female,2,3,healthcare_representative,1,single,25796,3,desconocido,20,4.0,3,0,1,2,13,12,8,1972,yes,30,1144.6,1.0,14915.2,23
47,48,43,No,desconocido,desconocido,fp,desconocido,3,male,3,4,manager,4,married,19494,1,Yes,12,3.0,4,2,3,4,25,4,12,1980,yes,92,394.0,26.0,16959.0,25
48,49,37,No,desconocido,desconocido,bachillerato,life_sciences,4,female,3,1,research_scientist,4,single,15881,1,No,12,3.0,2,0,3,3,17,5,7,1986,yes,42,1372.0,1.0,6911.4,13
49,50,32,No,travel_rarely,desconocido,fp,technical_degree,3,female,2,2,sales_executive,2,married,24624,1,Yes,11,3.0,4,0,2,3,13,11,9,1991,yes,65,757.2,8.0,5991.4,16
50,51,38,No,desconocido,desconocido,bachillerato,desconocido,4,female,3,3,research_director,1,married,16292,1,desconocido,13,3.0,2,1,3,3,15,5,11,1985,no,80,1333.0,1.0,6768.4,15
51,52,46,No,desconocido,desconocido,bachillerato,life_sciences,3,female,3,4,manager,2,desconocido,11380,8,No,12,3.0,4,1,2,4,13,5,1,1977,yes,51,228.0,3.0,4388.6,23
52,53,35,Yes,travel_rarely,desconocido,bachillerato,medical,4,male,2,3,sales_executive,1,married,21530,9,desconocido,17,3.0,3,0,3,3,13,6,0,1988,no,55,737.0,10.0,10306.0,15
53,54,43,No,desconocido,desconocido,bachillerato,medical,1,female,2,5,manager,3,married,22539,7,No,13,3.0,4,0,2,3,16,6,14,1980,yes,81,823.0,6.0,8920.8,21
54,55,56,No,non_travel,desconocido,universidad,life_sciences,3,male,3,2,healthcare_representative,3,divorced,26236,1,No,21,3.0,1,1,2,2,13,1,9,1967,yes,57,667.0,1.0,4104.6,8
55,56,36,No,non_travel,desconocido,universidad,marketing,4,male,1,2,sales_executive,4,divorced,10436,1,No,24,4.0,1,1,4,2,15,11,11,1987,yes,88,301.0,15.0,5406.0,11
56,57,38,No,desconocido,desconocido,bachillerato,medical,2,female,1,2,research_scientist,4,desconocido,15717,7,desconocido,12,3.0,4,3,3,3,13,1,9,1985,yes,79,573.0,6.0,6294.0,17
57,58,49,No,desconocido,desconocido,universidad,medical,3,female,3,2,manufacturing_director,1,desconocido,5549,1,No,14,3.0,3,0,2,2,15,5,11,1974,no,96,1099.4,9.4,7430.0,16
58,59,39,No,travel_rarely,desconocido,universidad,life_sciences,4,female,2,2,sales_executive,3,married,14590,4,desconocido,14,3.0,3,1,1,4,15,5,9,1984,yes,47,1329.0,4.0,5902.0,17
59,60,40,No,desconocido,desconocido,universidad,desconocido,3,male,2,3,sales_executive,4,married,8552,7,No,11,3.0,1,1,2,2,12,2,11,1983,yes,67,630.0,4.0,10855.0,15
60,61,36,No,desconocido,desconocido,fp,desconocido,4,male,3,2,laboratory_technician,2,single,9945,8,No,16,3.0,4,0,3,4,13,3,7,1987,yes,62,854.0,5.0,5914.0,16
61,62,37,No,desconocido,desconocido,doctorado,desconocido,2,female,3,2,research_scientist,3,married,23866,3,Yes,15,3.0,1,2,2,3,13,10,7,1986,no,72,1063.0,25.0,3115.4,15
62,63,35,No,desconocido,desconocido,universidad,desconocido,2,male,1,2,research_scientist,4,desconocido,19368,1,desconocido,13,3.0,2,0,3,3,17,11,8,1988,yes,82,1017.0,6.0,6646.0,5
63,64,33,No,travel_frequently,desconocido,bachillerato,life_sciences,3,male,3,2,healthcare_representative,4,divorced,5335,3,No,23,4.0,3,1,2,1,13,4,7,1990,no,58,1296.0,6.0,8074.0,15
64,65,50,No,travel_rarely, research_development ,bachillerato,desconocido,4,male,3,4,manufacturing_director,3,married,4161,3,Yes,18,3.0,4,1,2,3,12,1,5,1973,no,62,939.0,24.0,13973.0,22
65,66,48,No,travel_rarely,desconocido,universidad,desconocido,3,male,2,3,healthcare_representative,3,single,22245,7,desconocido,14,3.0,2,0,3,3,15,4,8,1975,yes,78,1355.0,4.0,10203.0,27
66,67,44,No,travel_rarely, sales ,bachillerato,desconocido,4,female,4,4,sales_executive,4,married,11737,3,desconocido,18,3.0,3,1,2,3,12,11,11,1979,yes,53,1448.0,28.0,13320.0,11
67,68,44,No,travel_rarely,desconocido,universidad,desconocido,4,male,3,2,research_scientist,4,single,7744,1,desconocido,25,4.0,2,0,3,3,20,13,17,1979,yes,32,200.0,29.0,4568.0,8
68,69,40,No,desconocido,desconocido,eso,desconocido,2,female,4,2,healthcare_representative,3,desconocido,13888,5,No,20,4.0,2,3,0,3,12,11,8,1983,yes,89,1202.0,9.6,9853.2,15
69,70,34,No,travel_rarely,desconocido,universidad,desconocido,3,female,3,2,healthcare_representative,4,single,6163,1,desconocido,11,3.0,4,0,2,4,14,4,11,1989,yes,98,404.0,2.0,6687.0,14
70,71,35,No,non_travel, research_development ,universidad,desconocido,3,female,3,2,healthcare_representative,3,desconocido,12250,1,desconocido,12,3.0,4,1,5,3,14,2,9,1988,yes,52,208.0,8.0,4088.8,7
71,72,50,No,desconocido,desconocido,doctorado,life_sciences,4,female,2,3,research_director,1,desconocido,21981,5,No,15,3.0,3,3,3,3,14,1,11,1973,no,50,813.0,17.0,4471.8,11
72,73,49,No,desconocido,desconocido,eso,life_sciences,3,female,2,4,healthcare_representative,3,desconocido,11652,2,desconocido,19,3.0,2,1,3,3,15,2,12,1974,yes,41,465.0,6.0,6941.0,13
73,74,38,No,travel_frequently,desconocido,bachillerato,life_sciences,4,male,3,2,research_scientist,4,desconocido,9867,7,No,15,3.0,4,2,4,3,13,2,9,1985,yes,90,1189.0,1.0,4735.0,19
74,75,33,No,desconocido,desconocido,bachillerato,desconocido,2,male,4,1,laboratory_technician,2,desconocido,13637,1,No,18,3.0,4,3,6,3,14,2,13,1990,yes,79,870.6,21.0,6869.6,14
75,76,47,No,travel_rarely,desconocido,bachillerato,life_sciences,3,female,2,3,manufacturing_director,2,divorced,19271,8,Yes,12,3.0,3,1,4,3,22,14,10,1976,yes,92,1001.0,4.0,4265.0,13
76,77,38,No,desconocido, research_development ,bachillerato,desconocido,4,female,2,2,research_scientist,2,divorced,18115,1,desconocido,16,3.0,3,1,3,3,20,0,7,1985,no,58,1394.0,8.0,4918.8,20
77,78,37,No,travel_rarely,desconocido,bachillerato,life_sciences,3,female,4,3,research_director,4,desconocido,15471,1,Yes,25,4.0,1,1,2,3,16,6,8,1986,yes,42,161.0,10.0,7480.0,16
78,79,30,No,desconocido,desconocido,bachillerato,desconocido,3,male,2,2,healthcare_representative,4,married,15830,1,No,19,3.0,1,3,3,3,11,10,8,1993,yes,99,288.0,2.0,4648.8,11
79,80,58,No,travel_rarely,desconocido,universidad,desconocido,4,male,3,4,sales_executive,3,single,24409,0,desconocido,13,3.0,3,0,1,2,37,1,8,1965,yes,37,682.0,11.2,13872.0,38
80,81,34,No,travel_rarely,desconocido,bachillerato,desconocido,3,female,2,3,manager,1,single,5615,2,desconocido,12,3.0,4,0,6,3,11,5,8,1989,no,45,1354.0,5.0,7623.4,14
81,82,58,Yes,travel_rarely,desconocido,universidad,medical,4,female,3,3,healthcare_representative,4,married,3465,1,desconocido,12,3.0,4,1,3,2,40,15,6,1965,yes,94,147.0,23.0,9655.4,40
83,83,29,No,travel_frequently,desconocido,eso,desconocido,2,female,3,3,sales_executive,4,married,6599,1,desconocido,14,3.0,4,1,5,3,11,4,1,1994,yes,42,1413.0,1.0,9077.0,11
85,84,41,No,desconocido,desconocido,universidad,desconocido,4,male,3,4,manager,2,desconocido,15896,1,desconocido,19,3.0,2,0,2,3,22,0,4,1982,yes,88,334.0,10.0,16015.0,8
86,85,39,No,travel_rarely, research_development ,bachillerato,desconocido,3,male,4,3,healthcare_representative,4,desconocido,10942,0,No,17,3.0,1,3,5,2,18,3,7,1984,no,48,1132.0,1.0,9613.0,19
87,86,38,No,desconocido,desconocido,fp,life_sciences,3,male,2,3,research_director,4,desconocido,15682,0,desconocido,14,3.0,2,1,3,3,11,2,9,1985,yes,92,959.2,15.0,11510.0,7
88,87,43,No,desconocido,desconocido,bachillerato,desconocido,1,male,2,4,research_director,2,desconocido,4345,1,No,11,3.0,3,1,3,3,25,3,9,1980,yes,59,982.0,12.0,5211.6,9
91,88,35,No,desconocido,desconocido,bachillerato,technical_degree,4,male,2,3,manufacturing_director,2,married,9129,3,No,16,3.0,1,0,2,3,13,4,8,1988,no,78,672.0,25.0,4691.0,6
92,89,47,No,desconocido,desconocido,universidad,desconocido,3,male,4,2,manufacturing_director,3,desconocido,6759,1,Yes,19,3.0,3,0,3,3,19,2,7,1976,yes,64,1379.0,16.0,5067.0,20
93,90,35,No,desconocido, research_development ,universidad,desconocido,3,female,3,3,healthcare_representative,3,divorced,6975,1,Yes,11,3.0,3,1,3,2,16,10,1,1988,yes,57,583.0,25.0,5604.2,11
94,91,40,No,travel_rarely,desconocido,universidad,desconocido,1,male,3,3,healthcare_representative,4,married,26542,4,desconocido,20,4.0,4,1,6,3,11,11,1,1983,yes,61,1492.0,20.0,4353.0,14
95,92,45,No,desconocido, sales ,universidad,life_sciences,2,female,2,2,sales_executive,3,married,17970,1,desconocido,13,3.0,4,1,2,3,15,4,12,1978,no,65,1050.0,9.0,6387.0,15
96,93,33,No,desconocido, research_development ,bachillerato,medical,1,male,3,1,research_scientist,4,married,6311,0,desconocido,13,3.0,2,1,5,3,14,4,10,1990,no,60,117.0,9.0,4951.4,15
97,94,36,No,travel_frequently,desconocido,bachillerato,desconocido,3,male,3,1,research_scientist,2,married,9256,1,No,12,3.0,3,0,2,2,11,0,7,1987,no,46,469.0,3.0,3692.0,12
98,95,45,Yes,desconocido,desconocido,bachillerato,marketing,1,female,1,5,manager,2,desconocido,2493,2,Yes,16,3.0,1,0,2,3,24,1,11,1978,yes,94,867.2,10.4,13611.0,26
99,96,51,No,travel_frequently,desconocido,bachillerato,desconocido,2,male,3,5,manager,2,desconocido,19196,4,Yes,24,3.0,1,1,5,2,29,11,10,1972,no,83,237.0,15.0,19847.0,7
101,97,43,No,travel_rarely, research_development ,fp,desconocido,3,male,2,4,research_director,3,desconocido,3525,1,No,24,4.0,1,1,3,3,14,6,11,1980,yes,65,1291.0,15.0,4955.6,8
102,98,34,No,desconocido,desconocido,fp,medical,2,male,2,2,laboratory_technician,4,desconocido,11912,1,No,14,3.0,3,1,3,3,15,4,13,1989,no,57,1157.0,5.0,4401.2,6
103,99,38,No,desconocido,desconocido,bachillerato,desconocido,1,male,3,1,human_resources,2,divorced,7129,5,No,13,3.0,4,3,3,3,11,3,8,1985,yes,100,1336.0,2.0,6337.8,13
104,100,48,No,desconocido,desconocido,bachillerato,desconocido,4,male,2,5,research_director,2,desconocido,13583,4,No,12,3.0,4,0,3,3,22,12,9,1975,no,91,1224.0,10.0,10198.2,29
105,101,34,No,desconocido, research_development ,universidad,other,3,male,2,2,research_scientist,4,married,26496,1,Yes,15,3.0,2,0,3,3,15,6,11,1989,no,86,735.0,22.0,5747.0,16
106,102,32,No,travel_rarely,desconocido,universidad,desconocido,3,female,3,3,sales_executive,4,desconocido,24032,1,No,19,3.0,3,2,3,3,14,5,7,1991,yes,48,699.4,12.0,10422.0,14
107,103,29,No,travel_rarely,desconocido,universidad,life_sciences,2,female,4,3,manufacturing_director,1,divorced,10195,1,No,11,3.0,3,1,1,3,10,8,8,1994,no,51,1389.0,21.0,4936.0,10
108,104,46,No,desconocido,desconocido,bachillerato,medical,3,male,2,3,healthcare_representative,1,married,3142,2,Yes,13,3.0,3,1,5,2,10,9,5,1977,no,40,638.0,1.0,7383.6,21
109,105,30,No,desconocido, human_resources ,bachillerato,desconocido,3,male,3,2,human_resources,4,married,13982,0,Yes,19,3.0,4,0,2,1,11,4,7,1993,no,48,1240.0,9.0,6347.0,6
110,106,45,No,desconocido,desconocido,bachillerato,life_sciences,2,male,3,2,laboratory_technician,2,desconocido,10901,8,No,18,3.0,3,1,2,3,17,0,15,1978,yes,60,194.0,9.0,2348.0,20
111,107,30,No,travel_rarely,desconocido,bachillerato,desconocido,2,female,3,3,sales_executive,4,desconocido,8053,2,No,12,3.0,3,1,2,3,10,7,4,1993,yes,41,1339.0,5.0,7563.8,13
112,108,30,No,desconocido,desconocido,bachillerato,desconocido,3,male,3,2,laboratory_technician,1,desconocido,11012,1,No,11,3.0,3,2,4,3,12,6,10,1993,yes,66,111.0,9.0,3072.0,12
113,109,34,No,travel_frequently,desconocido,eso,desconocido,4,male,2,2,manufacturing_director,3,married,14074,1,desconocido,17,3.0,3,0,2,2,10,1,9,1989,no,45,801.4,7.0,5704.6,10
114,110,51,No,travel_rarely,desconocido,universidad,life_sciences,2,male,2,3,research_director,2,married,15736,5,No,16,3.0,4,2,5,1,10,4,7,1972,no,81,1469.0,8.0,12490.0,16
115,111,34,No,desconocido,desconocido,universidad,life_sciences,3,male,2,2,manufacturing_director,1,desconocido,23687,6,desconocido,13,3.0,2,1,3,3,11,5,9,1989,yes,84,470.0,14.2,4850.4,13
116,112,35,No,travel_rarely,desconocido,bachillerato,desconocido,3,male,3,3,sales_executive,2,married,5100,0,desconocido,15,3.0,3,2,3,2,11,6,9,1988,yes,96,1232.0,16.0,8020.0,12
117,113,45,No,travel_frequently,desconocido,bachillerato,life_sciences,1,male,3,3,laboratory_technician,1,desconocido,20308,1,desconocido,18,3.0,1,1,2,3,24,9,11,1978,yes,97,1249.0,7.0,8358.4,24
118,114,39,No,desconocido,desconocido,eso,desconocido,3,male,3,4,manager,1,married,5355,1,desconocido,14,3.0,4,0,3,3,21,11,10,1984,yes,99,117.0,10.0,17068.0,21
119,115,31,No,desconocido,desconocido,fp,desconocido,3,female,2,3,manufacturing_director,3,married,14034,1,No,24,4.0,1,1,2,3,10,8,9,1992,no,48,798.0,7.0,8943.0,10
120,116,39,No,desconocido, research_development ,fp,desconocido,3,male,2,5,manager,4,married,21141,1,desconocido,15,3.0,1,1,2,3,21,13,3,1984,yes,54,672.0,7.0,19272.0,6
121,117,45,No,travel_rarely,desconocido,universidad,desconocido,4,male,3,2,research_scientist,4,desconocido,9278,9,No,14,3.0,1,2,3,3,10,9,8,1978,yes,75,549.0,8.0,6920.4,12
122,118,30,No,travel_rarely, sales ,bachillerato,marketing,4,female,2,2,sales_executive,3,desconocido,5431,1,desconocido,13,3.0,3,3,2,3,10,1,2,1993,yes,30,570.0,5.0,5589.6,10
123,119,31,No,desconocido,desconocido,universidad,medical,3,female,3,3,manufacturing_director,4,desconocido,25713,1,desconocido,14,3.0,3,0,2,2,11,4,10,1992,no,39,1232.0,7.0,6424.0,11
124,120,36,No,desconocido,desconocido,universidad,medical,1,male,2,3,sales_executive,4,married,7246,4,No,11,3.0,1,1,2,3,13,1,12,1987,yes,48,541.0,3.0,7159.8,16
125,121,36,No,travel_rarely,desconocido,fp,desconocido,2,male,2,3,sales_executive,3,married,3809,1,desconocido,13,3.0,2,2,2,3,10,9,0,1987,yes,61,164.0,2.0,5283.4,10
126,122,55,No,travel_rarely,desconocido,doctorado,desconocido,1,female,3,4,manager,2,single,9873,3,No,23,4.0,4,0,2,3,10,7,7,1968,yes,83,1117.0,18.0,9918.2,37
127,123,35,No,desconocido,desconocido,bachillerato,desconocido,2,male,3,2,sales_executive,3,desconocido,18659,9,desconocido,11,3.0,3,0,2,3,11,6,9,1988,yes,85,619.0,1.0,6604.6,15
128,124,42,No,travel_rarely,desconocido,bachillerato,medical,4,male,3,3,manufacturing_director,1,married,6950,1,desconocido,21,4.0,4,1,5,2,10,5,8,1981,no,56,319.0,24.0,3369.0,10
129,125,52,No,travel_rarely,desconocido,fp,desconocido,4,male,3,2,research_scientist,1,divorced,22087,3,Yes,12,3.0,2,2,3,3,10,6,9,1971,yes,78,956.0,6.0,5577.0,18
130,126,49,No,desconocido,desconocido,universidad,life_sciences,4,male,2,5,research_director,3,desconocido,2125,1,Yes,17,3.0,3,1,5,3,31,0,9,1974,yes,58,1245.0,18.0,3954.8,8
131,127,34,No,travel_rarely, research_development ,doctorado,desconocido,2,male,3,1,research_scientist,4,married,7660,1,No,12,3.0,4,1,4,2,10,8,8,1989,yes,42,1397.0,1.0,2691.0,9
132,128,33,Yes,travel_rarely,desconocido,universidad,other,4,male,3,1,research_scientist,4,single,5207,1,desconocido,13,3.0,3,0,2,2,10,7,8,1990,no,63,527.0,1.0,6622.0,10
133,129,33,No,desconocido, research_development ,bachillerato,medical,3,male,3,3,research_director,3,married,25995,0,No,11,3.0,4,0,3,4,13,3,7,1990,yes,49,213.0,7.0,5468.6,9
134,130,53,No,travel_rarely,desconocido,universidad,desconocido,4,female,3,4,research_director,4,desconocido,20206,6,No,18,3.0,3,0,0,3,12,3,8,1970,yes,72,852.4,23.0,9288.4,33
135,131,49,No,travel_rarely,desconocido,fp,other,1,female,3,3,laboratory_technician,2,married,22477,4,desconocido,11,3.0,3,1,3,2,26,1,7,1974,no,51,527.0,8.0,7403.0,29
136,132,35,No,desconocido,desconocido,universidad,desconocido,2,male,3,3,sales_executive,4,desconocido,6812,6,desconocido,13,3.0,2,1,2,3,10,0,8,1988,no,63,882.0,11.4,7461.0,17
137,133,38,No,travel_rarely,desconocido,eso,life_sciences,3,female,2,3,healthcare_representative,3,married,24608,0,desconocido,18,3.0,1,1,4,2,19,1,9,1985,no,65,330.0,17.0,8823.0,20
138,134,46,No,desconocido, sales ,eso,marketing,1,male,3,4,manager,3,married,15596,3,No,12,3.0,4,1,3,3,12,4,9,1977,no,62,406.0,3.0,4101.4,5
139,135,36,No,non_travel,desconocido,universidad,desconocido,1,male,3,2,manufacturing_director,4,single,23238,2,desconocido,20,4.0,1,0,0,3,11,0,9,1987,no,78,217.0,18.0,4691.0,18
140,136,42,Yes,travel_frequently,desconocido,bachillerato,life_sciences,1,male,3,4,sales_executive,1,single,2447,0,desconocido,12,3.0,2,0,2,2,21,13,14,1981,yes,44,481.0,9.0,7315.4,7
141,137,34,No,travel_frequently,desconocido,bachillerato,desconocido,4,male,2,2,healthcare_representative,1,single,25755,0,No,20,4.0,3,0,3,3,13,4,9,1989,yes,97,669.0,1.0,6313.2,14
