,employee_number,age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income, monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,same_as_monthly_income,date_birth,remote_work
40,41,32,No,travel_rarely,859,desconocido,4.0,bachillerato,desconocido,3,female,98,2,2,manufacturing_director,3,married,6162,19124,1,No,12,3,3,1,14,3,3,14,6,8,"6162,0",1991,no
41,42,41,No,travel_rarely,263,desconocido,8.0,bachillerato,desconocido,3,male,59,3,1,laboratory_technician,1,single,4721,3119,2,Yes,13,3,3,0,20,3,3,18,2,17,"4721,0",1982,yes
42,43,53,No,desconocido,1376,desconocido,2.0,fp,medical,3,male,64,3,4,manager,3,divorced,5693,13938,6,No,13,3,3,1,22,3,4,17,15,2,,1970,no
43,44,36,Yes,travel_rarely,885,desconocido,16.0,universidad,desconocido,3,female,43,4,1,laboratory_technician,1,single,6325,8269,1,desconocido,16,3,3,0,18,1,3,17,15,14,,1987,yes
44,45,46,No,desconocido,1003,desconocido,8.0,universidad,life_sciences,4,female,74,2,2,research_scientist,1,divorced,4615,21029,8,Yes,23,4,1,3,13,2,3,16,1,7,"4615,0",1977,no
45,46,38,No,travel_rarely,1321,desconocido,1.0,universidad,desconocido,4,male,86,3,2,sales_executive,2,married,6773,7636,0,No,15,3,1,2,16,3,2,15,5,8,,1985,yes
46,47,51,No,desconocido,1163,desconocido,1.0,universidad,desconocido,1,female,30,2,3,healthcare_representative,1,single,12638,25796,3,desconocido,20,4,3,0,23,1,2,13,12,8,,1972,yes
47,48,43,No,desconocido,394,desconocido,26.0,fp,desconocido,3,male,92,3,4,manager,4,married,16959,19494,1,Yes,12,3,4,2,25,3,4,25,4,12,"16959,0",1980,yes
48,49,37,No,desconocido,1372,desconocido,1.0,bachillerato,life_sciences,4,female,42,3,1,research_scientist,4,single,6911,15881,1,No,12,3,2,0,15,3,3,17,5,7,,1986,yes
49,50,32,No,travel_rarely,981,desconocido,8.0,fp,technical_degree,3,female,65,2,2,sales_executive,2,married,7087,24624,1,Yes,11,3,4,0,13,2,3,13,11,9,,1991,yes
50,51,38,No,desconocido,1333,desconocido,1.0,bachillerato,desconocido,4,female,80,3,3,research_director,1,married,7216,16292,1,desconocido,13,3,2,1,15,3,3,15,5,11,,1985,no
51,52,46,No,desconocido,228,desconocido,3.0,bachillerato,life_sciences,3,female,51,3,4,manager,2,desconocido,4388,11380,8,No,12,3,4,1,23,2,4,13,5,1,,1977,yes
52,53,35,Yes,travel_rarely,737,desconocido,10.0,bachillerato,medical,4,male,55,2,3,sales_executive,1,married,10306,21530,9,desconocido,17,3,3,0,15,3,3,13,6,0,"10306,0",1988,no
53,54,43,No,desconocido,823,desconocido,6.0,bachillerato,medical,1,female,81,2,5,manager,3,married,6294,22539,7,No,13,3,4,0,21,2,3,16,6,14,,1980,yes
54,55,56,No,non_travel,667,desconocido,1.0,universidad,life_sciences,3,male,57,3,2,healthcare_representative,3,divorced,3965,26236,1,No,21,3,1,1,12,2,2,13,1,9,,1967,yes
55,56,36,No,non_travel,301,desconocido,15.0,universidad,marketing,4,male,88,1,2,sales_executive,4,divorced,5406,10436,1,No,24,4,1,1,17,4,2,15,11,11,"5406,0",1987,yes
56,57,38,No,desconocido,573,desconocido,6.0,bachillerato,medical,2,female,79,1,2,research_scientist,4,desconocido,6294,15717,7,desconocido,12,3,4,3,17,3,3,13,1,9,,1985,yes
57,58,49,No,desconocido,741,desconocido,13.6,universidad,medical,3,female,96,3,2,manufacturing_director,1,desconocido,3643,5549,1,No,14,3,3,0,16,2,2,15,5,11,,1974,no
58,59,39,No,travel_rarely,1329,desconocido,4.0,universidad,life_sciences,4,female,47,2,2,sales_executive,3,married,5902,14590,4,desconocido,14,3,3,1,17,1,4,15,5,9,"5902,0",1984,yes
59,60,40,No,desconocido,630,desconocido,4.0,universidad,desconocido,3,male,67,2,3,sales_executive,4,married,10855,8552,7,No,11,3,1,1,15,2,2,12,2,11,"10855,0",1983,yes
60,61,36,No,desconocido,770,desconocido,5.0,fp,desconocido,4,male,62,3,2,laboratory_technician,2,single,5914,9945,8,No,16,3,4,0,16,3,4,13,3,7,"5914,0",1987,yes
61,62,37,No,desconocido,1063,desconocido,25.0,doctorado,desconocido,2,female,72,3,2,research_scientist,3,married,3115,23866,3,Yes,15,3,1,2,15,2,3,13,10,7,,1986,no
62,63,35,No,desconocido,1017,desconocido,6.0,universidad,desconocido,2,male,82,1,2,research_scientist,4,desconocido,6646,19368,1,desconocido,13,3,2,0,11,3,3,17,11,8,"6646,0",1988,yes
63,64,33,No,travel_frequently,1296,desconocido,6.0,bachillerato,life_sciences,3,male,74,3,2,healthcare_representative,4,divorced,7956,5335,3,No,23,4,3,1,15,2,1,13,4,7,,1990,no
64,65,50,No,travel_rarely,939,research_development,24.0,bachillerato,desconocido,4,male,67,3,4,manufacturing_director,3,married,13973,4161,3,Yes,18,3,4,1,22,2,3,12,1,5,"13973,0",1973,no
65,66,48,No,travel_rarely,1355,desconocido,4.0,universidad,desconocido,3,male,78,2,3,healthcare_representative,3,single,9047,22245,7,desconocido,14,3,2,0,27,3,3,15,4,8,,1975,yes
66,67,44,No,travel_rarely,1448,sales,28.0,bachillerato,desconocido,4,female,53,4,4,sales_executive,4,married,13320,11737,3,desconocido,18,3,3,1,16,2,3,12,11,11,"13320,0",1979,yes
67,68,44,No,travel_rarely,200,desconocido,29.0,universidad,desconocido,4,male,32,3,2,research_scientist,4,single,4568,7744,1,desconocido,25,4,2,0,14,3,3,20,13,17,,1979,yes
68,69,40,No,desconocido,1202,desconocido,10.4,eso,desconocido,2,female,89,4,2,healthcare_representative,3,desconocido,7080,13888,5,No,20,4,2,3,15,0,3,12,11,8,,1983,yes
69,70,34,No,travel_rarely,404,desconocido,2.0,universidad,desconocido,3,female,98,3,2,healthcare_representative,4,single,6687,6163,1,desconocido,11,3,4,0,14,2,4,14,4,11,"6687,0",1989,yes
70,71,35,No,non_travel,208,research_development,8.0,universidad,desconocido,3,female,52,3,2,healthcare_representative,3,desconocido,4088,12250,1,desconocido,12,3,4,1,14,5,3,14,2,9,,1988,yes
71,72,50,No,desconocido,813,desconocido,17.0,doctorado,life_sciences,4,female,50,2,3,research_director,1,desconocido,4471,21981,5,No,15,3,3,3,16,3,3,14,1,11,,1973,no
72,73,49,No,desconocido,465,desconocido,6.0,eso,life_sciences,3,female,41,2,4,healthcare_representative,3,desconocido,6941,11652,2,desconocido,19,3,2,1,15,3,3,15,2,12,,1974,yes
73,74,38,No,travel_frequently,1189,desconocido,1.0,bachillerato,life_sciences,4,male,90,3,2,research_scientist,4,desconocido,4735,9867,7,No,15,3,4,2,19,4,2,13,2,9,"4735,0",1985,yes
74,75,33,No,desconocido,870,desconocido,21.0,bachillerato,desconocido,2,male,79,4,1,laboratory_technician,2,desconocido,6869,13637,1,No,18,3,4,3,14,6,2,14,2,13,,1990,yes
75,76,47,No,travel_rarely,1001,desconocido,4.0,bachillerato,life_sciences,3,female,92,2,3,manufacturing_director,2,divorced,4265,19271,8,Yes,12,3,3,1,20,4,3,22,14,10,,1976,yes
76,77,38,No,desconocido,1394,research_development,8.0,bachillerato,desconocido,4,female,58,2,2,research_scientist,2,divorced,4918,18115,1,desconocido,16,3,3,1,20,3,3,20,0,7,,1985,no
77,78,37,No,travel_rarely,161,desconocido,10.0,bachillerato,life_sciences,3,female,42,4,3,research_director,4,desconocido,6280,15471,1,Yes,25,4,1,1,16,2,3,16,6,8,,1986,yes
78,79,30,No,desconocido,288,desconocido,2.0,bachillerato,desconocido,3,male,99,2,2,healthcare_representative,4,married,5183,15830,1,No,19,3,1,3,11,3,3,11,10,8,,1993,yes
79,80,58,No,travel_rarely,682,desconocido,12.6,universidad,desconocido,4,male,37,3,4,sales_executive,3,single,13872,24409,0,desconocido,13,3,3,0,38,1,2,37,1,8,"13872,0",1965,yes
80,81,34,No,travel_rarely,1354,desconocido,5.0,bachillerato,desconocido,3,female,45,2,3,manager,1,single,7623,5615,2,desconocido,12,3,4,0,14,6,3,11,5,8,,1989,no
81,82,58,Yes,travel_rarely,147,desconocido,23.0,universidad,medical,4,female,94,3,3,healthcare_representative,4,married,11279,3465,1,desconocido,12,3,4,1,40,3,2,40,15,6,,1965,yes
83,83,29,No,travel_frequently,1413,desconocido,1.0,eso,desconocido,2,female,42,3,3,sales_executive,4,married,5771,6599,1,desconocido,14,3,4,1,11,5,3,11,4,1,,1994,yes
85,84,41,No,desconocido,334,desconocido,10.2,universidad,desconocido,4,male,88,3,4,manager,2,desconocido,16015,15896,1,desconocido,19,3,2,0,13,2,3,22,0,4,"16015,0",1982,yes
86,85,39,No,travel_rarely,1132,research_development,1.0,bachillerato,desconocido,3,male,48,4,3,healthcare_representative,4,desconocido,9613,10942,0,No,17,3,1,3,19,5,2,18,3,7,"9613,0",1984,no
87,86,38,No,desconocido,886,desconocido,15.0,fp,life_sciences,3,male,92,2,3,research_director,4,desconocido,11510,15682,0,desconocido,14,3,2,1,7,3,3,11,2,9,"11510,0",1985,yes
88,87,43,No,desconocido,982,desconocido,12.0,bachillerato,desconocido,1,male,59,2,4,research_director,2,desconocido,5211,4345,1,No,11,3,3,1,9,3,2,25,3,9,,1980,yes
91,88,35,No,desconocido,672,desconocido,25.0,bachillerato,technical_degree,4,male,78,2,3,manufacturing_director,2,married,4691,9129,3,No,16,3,1,0,11,2,3,13,4,8,,1988,no
92,89,47,No,desconocido,1379,desconocido,16.0,universidad,desconocido,3,male,64,4,2,manufacturing_director,3,desconocido,5067,6759,1,Yes,19,3,3,0,20,3,2,19,2,7,"5067,0",1976,yes
93,90,35,No,desconocido,583,research_development,25.0,universidad,desconocido,3,female,57,3,3,healthcare_representative,3,divorced,5631,6975,1,Yes,11,3,3,1,16,3,2,16,10,1,,1988,yes
94,91,40,No,travel_rarely,1492,desconocido,20.0,universidad,desconocido,1,male,61,3,3,healthcare_representative,4,married,4353,26542,4,desconocido,20,4,4,1,14,6,3,11,11,1,,1983,yes
95,92,45,No,desconocido,1050,sales,9.0,universidad,life_sciences,2,female,65,2,2,sales_executive,3,married,6387,17970,1,desconocido,13,3,4,1,15,2,3,15,4,12,,1978,no
96,93,33,No,desconocido,117,research_development,9.0,bachillerato,medical,1,male,60,3,1,research_scientist,4,married,4951,6311,0,desconocido,13,3,2,1,15,5,3,14,4,10,,1990,no
97,94,36,No,travel_frequently,469,desconocido,3.0,bachillerato,desconocido,3,male,46,3,1,research_scientist,2,married,3692,9256,1,No,12,3,3,0,12,2,2,11,0,7,"3692,0",1987,no
98,95,45,Yes,desconocido,527,desconocido,10.2,bachillerato,marketing,1,female,94,1,5,manager,2,desconocido,13855,2493,2,Yes,16,3,1,0,26,2,3,24,1,11,,1978,yes
99,96,51,No,travel_frequently,237,desconocido,13.6,bachillerato,desconocido,2,male,83,3,5,manager,2,desconocido,19847,19196,4,Yes,24,3,1,1,12,5,2,29,11,10,"19847,0",1972,no
101,97,43,No,travel_rarely,1291,research_development,15.0,fp,desconocido,3,male,65,2,4,research_director,3,desconocido,4401,3525,1,No,24,4,1,1,13,3,3,14,6,11,,1980,yes
102,98,34,No,desconocido,1157,desconocido,5.0,fp,medical,2,male,57,2,2,laboratory_technician,4,desconocido,4401,11912,1,No,14,3,3,1,6,3,3,15,4,13,,1989,no
103,99,38,No,desconocido,1336,desconocido,2.0,bachillerato,desconocido,1,male,100,3,1,human_resources,2,divorced,4539,7129,5,No,13,3,4,3,13,3,3,11,3,8,,1985,yes
104,100,48,No,desconocido,1224,desconocido,10.0,bachillerato,desconocido,4,male,91,2,5,research_director,2,desconocido,10198,13583,4,No,12,3,4,0,29,3,3,22,12,9,,1975,no
105,101,34,No,desconocido,735,research_development,22.0,universidad,other,3,male,86,2,2,research_scientist,4,married,5747,26496,1,Yes,15,3,2,0,16,3,3,15,6,11,"5747,0",1989,no
106,102,32,No,travel_rarely,834,desconocido,13.2,universidad,desconocido,3,female,48,3,3,sales_executive,4,desconocido,10422,24032,1,No,19,3,3,2,14,3,3,14,5,7,"10422,0",1991,yes
107,103,29,No,travel_rarely,1389,desconocido,21.0,universidad,life_sciences,2,female,51,4,3,manufacturing_director,1,divorced,4936,10195,1,No,11,3,3,1,10,1,3,10,8,8,,1994,no
108,104,46,No,desconocido,638,desconocido,1.0,bachillerato,medical,3,male,40,2,3,healthcare_representative,1,married,7383,3142,2,Yes,13,3,3,1,21,5,2,10,9,5,,1977,no
109,105,30,No,desconocido,1240,human_resources,9.0,bachillerato,desconocido,3,male,48,3,2,human_resources,4,married,6347,13982,0,Yes,19,3,4,0,12,2,1,11,4,7,"6347,0",1993,no
110,106,45,No,desconocido,194,desconocido,9.0,bachillerato,life_sciences,2,male,60,3,2,laboratory_technician,2,desconocido,2348,10901,8,No,18,3,3,1,20,2,2,17,0,15,"2348,0",1978,yes
111,107,30,No,travel_rarely,1339,desconocido,5.0,bachillerato,desconocido,2,female,41,3,3,sales_executive,4,desconocido,7369,8053,2,No,12,3,3,1,18,2,3,10,7,4,,1993,yes
112,108,30,No,desconocido,111,desconocido,9.0,bachillerato,desconocido,3,male,66,3,2,laboratory_technician,1,desconocido,3072,11012,1,No,11,3,3,2,12,4,3,12,6,10,"3072,0",1993,yes
113,109,34,No,travel_frequently,840,desconocido,5.6,eso,desconocido,4,male,45,2,2,manufacturing_director,3,married,5011,14074,1,desconocido,17,3,3,0,10,2,2,10,1,9,,1989,no
114,110,51,No,travel_rarely,1469,desconocido,8.0,universidad,life_sciences,2,male,81,2,3,research_director,2,married,12490,15736,5,No,16,3,4,2,16,5,1,10,4,7,"12490,0",1972,no
115,111,34,No,desconocido,470,desconocido,13.8,universidad,life_sciences,3,male,84,2,2,manufacturing_director,1,desconocido,5375,23687,6,desconocido,13,3,2,1,13,3,3,11,5,9,,1989,yes
116,112,35,No,travel_rarely,1232,desconocido,16.0,bachillerato,desconocido,3,male,96,3,3,sales_executive,2,married,8020,5100,0,desconocido,15,3,3,2,12,3,2,11,6,9,"8020,0",1988,yes
117,113,45,No,travel_frequently,1249,desconocido,7.0,bachillerato,life_sciences,1,male,97,3,3,laboratory_technician,1,desconocido,8358,20308,1,desconocido,18,3,1,1,24,2,3,24,9,11,,1978,yes
118,114,39,No,desconocido,117,desconocido,10.0,eso,desconocido,3,male,99,3,4,manager,1,married,17068,5355,1,desconocido,14,3,4,0,21,3,3,21,11,10,"17068,0",1984,yes
119,115,31,No,desconocido,798,desconocido,7.0,fp,desconocido,3,female,48,2,3,manufacturing_director,3,married,8943,14034,1,No,24,4,1,1,10,2,3,10,8,9,"8943,0",1992,no
120,116,39,No,desconocido,672,research_development,7.0,fp,desconocido,3,male,54,2,5,manager,4,married,19272,21141,1,desconocido,15,3,1,1,13,2,3,21,13,3,"19272,0",1984,yes
121,117,45,No,travel_rarely,549,desconocido,8.0,universidad,desconocido,4,male,75,3,2,research_scientist,4,desconocido,6920,9278,9,No,14,3,1,2,12,3,3,10,9,8,,1978,yes
122,118,30,No,travel_rarely,570,sales,5.0,bachillerato,marketing,4,female,30,2,2,sales_executive,3,desconocido,5589,5431,1,desconocido,13,3,3,3,10,2,3,10,1,2,,1993,yes
123,119,31,No,desconocido,1232,desconocido,7.0,universidad,medical,3,female,39,3,3,manufacturing_director,4,desconocido,5835,25713,1,desconocido,14,3,3,0,11,2,2,11,4,10,,1992,no
124,120,36,No,desconocido,541,desconocido,3.0,universidad,medical,1,male,48,2,3,sales_executive,4,married,7159,7246,4,No,11,3,1,1,16,2,3,13,1,12,,1987,yes
125,121,36,No,travel_rarely,164,desconocido,2.0,fp,desconocido,2,male,61,2,3,sales_executive,3,married,4885,3809,1,desconocido,13,3,2,2,10,2,3,10,9,0,,1987,yes
126,122,55,No,travel_rarely,1117,desconocido,18.0,doctorado,desconocido,1,female,83,3,4,manager,2,single,9918,9873,3,No,23,4,4,0,37,2,3,10,7,7,,1968,yes
127,123,35,No,desconocido,619,desconocido,1.0,bachillerato,desconocido,2,male,85,3,2,sales_executive,3,desconocido,7135,18659,9,desconocido,11,3,3,0,15,2,3,11,6,9,,1988,yes
128,124,42,No,travel_rarely,319,desconocido,24.0,bachillerato,medical,4,male,56,3,3,manufacturing_director,1,married,3369,6950,1,desconocido,21,4,4,1,10,5,2,10,5,8,,1981,no
129,125,52,No,travel_rarely,956,desconocido,6.0,fp,desconocido,4,male,78,3,2,research_scientist,1,divorced,5577,22087,3,Yes,12,3,2,2,18,3,3,10,6,9,"5577,0",1971,yes
130,126,49,No,desconocido,1245,desconocido,18.0,universidad,life_sciences,4,male,58,2,5,research_director,3,desconocido,3954,2125,1,Yes,17,3,3,1,15,5,3,31,0,9,,1974,yes
131,127,34,No,travel_rarely,1397,research_development,1.0,doctorado,desconocido,2,male,42,3,1,research_scientist,4,married,2691,7660,1,No,12,3,4,1,15,4,2,10,8,8,"2691,0",1989,yes
132,128,33,Yes,travel_rarely,527,desconocido,1.0,universidad,other,4,male,63,3,1,research_scientist,4,single,7226,5207,1,desconocido,13,3,3,0,10,2,2,10,7,8,,1990,no
133,129,33,No,desconocido,213,research_development,7.0,bachillerato,medical,3,male,49,3,3,research_director,3,married,5468,25995,0,No,11,3,4,0,14,3,4,13,3,7,,1990,yes
134,130,53,No,travel_rarely,905,desconocido,23.0,universidad,desconocido,4,female,72,3,4,research_director,4,desconocido,6092,20206,6,No,18,3,3,0,33,0,3,12,3,8,,1970,yes
135,131,49,No,travel_rarely,527,desconocido,8.0,fp,other,1,female,51,3,3,laboratory_technician,2,married,7403,22477,4,desconocido,11,3,3,1,29,3,2,26,1,7,"7403,0",1974,no
136,132,35,No,desconocido,882,desconocido,13.2,universidad,desconocido,2,male,65,3,3,sales_executive,4,desconocido,4574,6812,6,desconocido,13,3,2,1,11,2,3,10,0,8,,1988,no
137,133,38,No,travel_rarely,330,desconocido,17.0,eso,life_sciences,3,female,65,2,3,healthcare_representative,3,married,8823,24608,0,desconocido,18,3,1,1,20,4,2,19,1,9,"8823,0",1985,no
138,134,46,No,desconocido,406,sales,3.0,eso,marketing,1,male,54,3,4,manager,3,married,4455,15596,3,No,12,3,4,1,9,3,3,12,4,9,,1977,no
139,135,36,No,non_travel,217,desconocido,18.0,universidad,desconocido,1,male,78,3,2,manufacturing_director,4,single,4691,23238,2,desconocido,20,4,1,0,18,0,3,11,0,9,,1987,no
140,136,42,Yes,travel_frequently,481,desconocido,14.0,bachillerato,life_sciences,1,male,44,3,4,sales_executive,1,single,5504,2447,0,desconocido,12,3,2,0,13,2,2,21,13,14,,1981,yes
141,137,34,No,travel_frequently,669,desconocido,1.0,bachillerato,desconocido,4,male,97,2,2,healthcare_representative,1,single,5537,25755,0,No,20,4,3,0,14,3,3,13,4,9,,1989,yes
142,138,30,No,travel_rarely,1465,research_development,1.0,bachillerato,medical,4,male,63,3,1,research_scientist,2,desconocido,3579,9369,0,Yes,21,4,1,1,12,2,3,11,5,7,"3579,0",1993,yes
143,139,54,No,travel_rarely,685,desconocido,3.0,bachillerato,life_sciences,4,male,85,3,4,research_director,4,married,17779,23474,3,No,14,3,1,0,36,2,3,10,0,9,"17779,0",1969,yes
144,140,31,No,travel_rarely,1062,desconocido,24.0,bachillerato,medical,3,female,96,2,2,healthcare_representative,1,single,4490,17198,1,No,19,3,2,0,10,2,3,10,1,8,,1992,no
145,141,44,No,desconocido,1099,desconocido,5.0,bachillerato,desconocido,2,male,88,3,5,manager,2,married,18213,8751,7,No,11,3,3,1,26,5,3,22,3,10,"18213,0",1979,yes
